sample_id,culture_condition,pulse_condition,bispecific_condition,time,H460,797,14169,1015
ET1_rep3_pp,E:T1,peptide_pulse,no_bispecific,48,112670,19116,29449,25911
ET1_rep4_pp,E:T1,peptide_pulse,no_bispecific,48,120409,18483,28348,25198
ET5_rep1_pp,E:T5,peptide_pulse,no_bispecific,48,77467,1313,17108,12169
ET5_rep2_pp,E:T5,peptide_pulse,no_bispecific,48,84441,1497,17589,15155
ET5_rep3_pp,E:T5,peptide_pulse,no_bispecific,48,90137,2232,18274,14223
ET5_rep4_pp,E:T5,peptide_pulse,no_bispecific,48,88466,1699,18056,14339
tumor_rep1,tumor_only,no_pulse,bispecific,48,133107,30334,31131,29123
tumor_rep2,tumor_only,no_pulse,bispecific,48,130015,31296,30841,33049
tumor_rep3,tumor_only,no_pulse,bispecific,48,119519,31022,23184,24045
ET1_rep1,E:T1,no_pulse,bispecific,48,120182,17782,21425,23303
ET1_rep2,E:T1,no_pulse,bispecific,48,118844,20698,19994,27486
ET1_rep3,E:T1,no_pulse,bispecific,48,114717,18919,22098,26446
ET5_rep1,E:T5,no_pulse,bispecific,48,86281,2058,7635,10779
ET5_rep2,E:T5,no_pulse,bispecific,48,82248,1978,7594,10938
ET5_rep3,E:T5,no_pulse,bispecific,48,92009,1983,9495,10654
tumor_rep1_pp,tumor_only,peptide_pulse,bispecific,48,138693,28353,31046,29073
tumor_rep2_pp,tumor_only,peptide_pulse,bispecific,48,143129,30380,31532,29878
tumor_rep3_pp,tumor_only,peptide_pulse,bispecific,48,141773,26765,29880,27912
ET1_rep1_pp,E:T1,peptide_pulse,bispecific,48,103634,18565,13048,14440
ET1_rep2_pp,E:T1,peptide_pulse,bispecific,48,108258,19521,14966,15991
ET1_rep3_pp,E:T1,peptide_pulse,bispecific,48,115307,17764,14240,16212
ET5_rep1_pp,E:T5,peptide_pulse,bispecific,48,80496,2413,2296,1969
ET5_rep2_pp,E:T5,peptide_pulse,bispecific,48,85278,2022,2419,2601
ET5_rep3_pp,E:T5,peptide_pulse,bispecific,48,90553,1866,2545,2515
